producto,categoria,cantidad,precio
Audifonos,Electronica,8,1200
Webcam,Electronica,4,1800
Bocina,Electronica,6,950
Tablet,Electronica,3,7500
Celular,Electronica,5,12000
Cargador,Electronica,10,450
Disco SSD,Electronica,7,1600
Memoria USB,Electronica,15,250
Router,Electronica,4,1300
Impresora,Electronica,2,3500
Lampara,Muebles,6,850
Librero,Muebles,3,3200
Sillon,Muebles,2,6800
Mesa,Muebles,4,2800
Archivero,Muebles,5,1900
Banco,Muebles,8,750
Gabinete,Muebles,3,2400
Cajonera,Muebles,4,1700
Pizarron,Muebles,2,2100
Repisa,Muebles,7,650
Cuaderno,Papeleria,20,80
Pluma,Papeleria,50,25
Lapiz,Papeleria,40,15
Marcadores,Papeleria,12,120
Carpeta,Papeleria,25,45
Grapadora,Papeleria,8,180
Tijeras,Papeleria,10,95
Calculadora,Papeleria,6,350
PostIt,Papeleria,30,55
Regla,Papeleria,15,30
Cafe,Alimentos,12,180
Te,Alimentos,20,95
Galletas,Alimentos,25,65
Agua,Alimentos,40,20
Refresco,Alimentos,30,35
Pan,Alimentos,15,50
Chocolate,Alimentos,18,75
Cereal,Alimentos,10,110
Jugo,Alimentos,22,45
Snacks,Alimentos,28,60
Camisa,Ropa,6,650
Pantalon,Ropa,8,900
Sudadera,Ropa,5,1200
Zapatos,Ropa,4,1800
Chamarra,Ropa,3,2200
Calcetines,Ropa,20,120
Gorra,Ropa,10,250
Cinturon,Ropa,7,350
Mochila,Ropa,5,950
Playera,Ropa,12,400
Smartwatch,Electronica,4,3200
Teclado_Mecanico,Electronica,6,1450
Mouse_Inalambrico,Electronica,9,750
Microfono,Electronica,3,2100
Proyector,Electronica,2,5800
Disco_Duro,Electronica,5,1900
Monitor_24,Electronica,4,4200
Adaptador_USB,Electronica,15,280
Cable_HDMI,Electronica,20,180
Regulador,Electronica,7,650
Ventilador,Electronica,5,1100
NoBreak,Electronica,3,2800
Lampara_Escritorio,Muebles,8,620
Silla_Ejecutiva,Muebles,3,4500
Mesa_Reunion,Muebles,2,7500
Estante,Muebles,5,2900
Sofa,Muebles,2,8500
Mesa_Centro,Muebles,4,1800
Silla_Visita,Muebles,10,950
Escritorio_Ejecutivo,Muebles,2,6800
Organizador,Papeleria,15,85
Hojas_Carta,Papeleria,30,110
Hojas_Oficio,Papeleria,20,130
Plumones,Papeleria,10,150
Corrector,Papeleria,12,45
Pegamento,Papeleria,15,35
Cinta_Adhesiva,Papeleria,18,40
Folder,Papeleria,30,25
Engrapadora,Papeleria,6,220
Perforadora,Papeleria,7,190
Tostadas,Alimentos,20,55
Cafe_Molido,Alimentos,15,160
Azucar,Alimentos,25,35
Leche,Alimentos,30,32
Galletas_Chocolate,Alimentos,18,70
Papas,Alimentos,25,48
Agua_Mineral,Alimentos,24,28
Te_Verdes,Alimentos,12,115
Sandwich,Alimentos,10,85
Barra_Cereal,Alimentos,20,42
Vestido,Ropa,4,1500
Blusa,Ropa,7,550
Tenis,Ropa,6,2100
Chaleco,Ropa,3,1300
