producto,categoria,cantidad,precio,total
Audifonos,Electronica,8,1200,9600
Webcam,Electronica,4,1800,7200
Bocina,Electronica,6,950,5700
Tablet,Electronica,3,7500,22500
Celular,Electronica,5,12000,60000
Cargador,Electronica,10,450,4500
Disco SSD,Electronica,7,1600,11200
Memoria USB,Electronica,15,250,3750
Router,Electronica,4,1300,5200
Impresora,Electronica,2,3500,7000
Lampara,Muebles,6,850,5100
Librero,Muebles,3,3200,9600
Sillon,Muebles,2,6800,13600
Mesa,Muebles,4,2800,11200
Archivero,Muebles,5,1900,9500
Banco,Muebles,8,750,6000
Gabinete,Muebles,3,2400,7200
Cajonera,Muebles,4,1700,6800
Pizarron,Muebles,2,2100,4200
Repisa,Muebles,7,650,4550
Cuaderno,Papeleria,20,80,1600
Pluma,Papeleria,50,25,1250
Lapiz,Papeleria,40,15,600
Marcadores,Papeleria,12,120,1440
Carpeta,Papeleria,25,45,1125
Grapadora,Papeleria,8,180,1440
Tijeras,Papeleria,10,95,950
Calculadora,Papeleria,6,350,2100
PostIt,Papeleria,30,55,1650
Regla,Papeleria,15,30,450
Cafe,Alimentos,12,180,2160
Te,Alimentos,20,95,1900
Galletas,Alimentos,25,65,1625
Agua,Alimentos,40,20,800
Refresco,Alimentos,30,35,1050
Pan,Alimentos,15,50,750
Chocolate,Alimentos,18,75,1350
Cereal,Alimentos,10,110,1100
Jugo,Alimentos,22,45,990
Snacks,Alimentos,28,60,1680
Camisa,Ropa,6,650,3900
Pantalon,Ropa,8,900,7200
Sudadera,Ropa,5,1200,6000
Zapatos,Ropa,4,1800,7200
Chamarra,Ropa,3,2200,6600
Calcetines,Ropa,20,120,2400
Gorra,Ropa,10,250,2500
Cinturon,Ropa,7,350,2450
Mochila,Ropa,5,950,4750
Playera,Ropa,12,400,4800
Smartwatch,Electronica,4,3200,12800
Teclado_Mecanico,Electronica,6,1450,8700
Mouse_Inalambrico,Electronica,9,750,6750
Microfono,Electronica,3,2100,6300
Proyector,Electronica,2,5800,11600
Disco_Duro,Electronica,5,1900,9500
Monitor_24,Electronica,4,4200,16800
Adaptador_USB,Electronica,15,280,4200
Cable_HDMI,Electronica,20,180,3600
Regulador,Electronica,7,650,4550
Ventilador,Electronica,5,1100,5500
NoBreak,Electronica,3,2800,8400
Lampara_Escritorio,Muebles,8,620,4960
Silla_Ejecutiva,Muebles,3,4500,13500
Mesa_Reunion,Muebles,2,7500,15000
Estante,Muebles,5,2900,14500
Sofa,Muebles,2,8500,17000
Mesa_Centro,Muebles,4,1800,7200
Silla_Visita,Muebles,10,950,9500
Escritorio_Ejecutivo,Muebles,2,6800,13600
Organizador,Papeleria,15,85,1275
Hojas_Carta,Papeleria,30,110,3300
Hojas_Oficio,Papeleria,20,130,2600
Plumones,Papeleria,10,150,1500
Corrector,Papeleria,12,45,540
Pegamento,Papeleria,15,35,525
Cinta_Adhesiva,Papeleria,18,40,720
Folder,Papeleria,30,25,750
Engrapadora,Papeleria,6,220,1320
Perforadora,Papeleria,7,190,1330
Tostadas,Alimentos,20,55,1100
Cafe_Molido,Alimentos,15,160,2400
Azucar,Alimentos,25,35,875
Leche,Alimentos,30,32,960
Galletas_Chocolate,Alimentos,18,70,1260
Papas,Alimentos,25,48,1200
Agua_Mineral,Alimentos,24,28,672
Te_Verdes,Alimentos,12,115,1380
Sandwich,Alimentos,10,85,850
Barra_Cereal,Alimentos,20,42,840
Vestido,Ropa,4,1500,6000
Blusa,Ropa,7,550,3850
Tenis,Ropa,6,2100,12600
Chaleco,Ropa,3,1300,3900
