producto,categoria,cantidad,precio
Lego City,Construcción,5,349.9
Muñeca Barbie,Muñecas,8,249.5
Hot Wheels,Autos,12,89.9
Pelota de fútbol,Deportes,6,159.9
Rompecabezas 500 piezas,Rompecabezas,10,129.9
Avión de juguete,Vehículos,4,199.9
Oso de peluche,Peluches,7,179.5
Juego de cocina,Juegos de rol,3,299.9
Pistola de agua,Juegos al aire libre,9,79.9
Tren eléctrico,Vehículos,2,499.9
Set de plastilina,Manualidades,11,119.9
Robot de juguete,Robots,5,329.9
Casa de muñecas,Muñecas,3,599.9
Camión de construcción,Vehículos,6,219.9
Juego de ajedrez,Juegos de mesa,4,189.9
Muñeca bebé,Muñecas,0,199.9
Camión rojo,Vehículos,5,0
Juego de cartas,Juegos de mesa,-2,89.9
Robot azul,Robots,3,-50
Lego Friends,Construcción,7,299.9
Barbie princesa,Muñecas,4,279.9
Hot Wheels pista,Autos,6,349.9
Peluche dinosaurio,Peluches,9,159.9
Rompecabezas 1000 piezas,Rompecabezas,5,199.9
Monopoly,Juegos de mesa,3,399.9
Nerf lanzador,Juegos de acción,8,449.9
Cocina de juguete,Juegos de rol,2,699.9
Set de dinosaurios,Figuras,10,229.9
Camión de bomberos,Vehiculos,4,319.9
Kit de doctor,Juegos de rol,6,189.9
Muñeca bebé,Muñecas,5,249.9
Set de bloques,Construcción,12,149.9
Guitarra de juguete,Instrumentos,3,299.9
Pista de carreras,Autos,2,549.9
Juego de memoria,Juegos de mesa,7,129.9
Robot transformable,Robots,4,389.9
Avión militar,Vehículos,5,219.9
Set de pintura,Manualidades,8,99.9
Casa de muñecas,Muñecas,2,799.9
Pelota gigante,Deportes,0,199.9
Muñeca clásica,Muñecas,-3,249.9
Robot pequeño,Robots,5,0
Camión azul,Vehículos,4,-120
Lego castillo,Construcción,-2,499.9
Oso de peluche,Peluches,6,-80.5
Juego de cartas,Juegos de mesa,0,99.9
Avión de juguete,Vehículos,-5,159.9
Set de cocina,Juegos de rol,3,0
Dinosaurio gigante,Figuras,-1,-200
