producto,categoria,cantidad,precio,total
Nerf lanzador,Juegos de acción,8,449.9,3599.2
Set de dinosaurios,Figuras,10,229.9,2299.0
Hot Wheels pista,Autos,6,349.9,2099.3999999999996
Lego Friends,Construcción,7,299.9,2099.2999999999997
Muñeca Barbie,Muñecas,8,249.5,1996.0
Casa de muñecas,Muñecas,3,599.9,1799.6999999999998
Set de bloques,Construcción,12,149.9,1798.8000000000002
Lego City,Construcción,5,349.9,1749.5
Robot de juguete,Robots,5,329.9,1649.5
Casa de muñecas,Muñecas,2,799.9,1599.8
Robot transformable,Robots,4,389.9,1559.6
Peluche dinosaurio,Peluches,9,159.9,1439.1000000000001
Cocina de juguete,Juegos de rol,2,699.9,1399.8
Camión de construcción,Vehículos,6,219.9,1319.4
Set de plastilina,Manualidades,11,119.9,1318.9
Rompecabezas 500 piezas,Rompecabezas,10,129.9,1299.0
Camión de bomberos,Vehiculos,4,319.9,1279.6
Oso de peluche,Peluches,7,179.5,1256.5
Muñeca bebé,Muñecas,5,249.9,1249.5
Monopoly,Juegos de mesa,3,399.9,1199.6999999999998
Kit de doctor,Juegos de rol,6,189.9,1139.4
Barbie princesa,Muñecas,4,279.9,1119.6
Pista de carreras,Autos,2,549.9,1099.8
Avión militar,Vehículos,5,219.9,1099.5
Hot Wheels,Autos,12,89.9,1078.8000000000002
Tren eléctrico,Vehículos,2,499.9,999.8
Rompecabezas 1000 piezas,Rompecabezas,5,199.9,999.5
Pelota de fútbol,Deportes,6,159.9,959.4000000000001
Juego de memoria,Juegos de mesa,7,129.9,909.3000000000001
Guitarra de juguete,Instrumentos,3,299.9,899.6999999999999
Juego de cocina,Juegos de rol,3,299.9,899.6999999999999
Avión de juguete,Vehículos,4,199.9,799.6
Set de pintura,Manualidades,8,99.9,799.2
Juego de ajedrez,Juegos de mesa,4,189.9,759.6
Pistola de agua,Juegos al aire libre,9,79.9,719.1
Dinosaurio gigante,Figuras,-1,-200.0,200.0
Muñeca bebé,Muñecas,0,199.9,0.0
Camión rojo,Vehículos,5,0.0,0.0
Robot pequeño,Robots,5,0.0,0.0
Juego de cartas,Juegos de mesa,0,99.9,0.0
Pelota gigante,Deportes,0,199.9,0.0
Set de cocina,Juegos de rol,3,0.0,0.0
Robot azul,Robots,3,-50.0,-150.0
Juego de cartas,Juegos de mesa,-2,89.9,-179.8
Camión azul,Vehículos,4,-120.0,-480.0
Oso de peluche,Peluches,6,-80.5,-483.0
Muñeca clásica,Muñecas,-3,249.9,-749.7
Avión de juguete,Vehículos,-5,159.9,-799.5
Lego castillo,Construcción,-2,499.9,-999.8
