,producto,categoria,cantidad,precio,fecha,total
0,Laptop,Electronica,2.0,15000,01/08/2026,30000.0
1,Mouse,Electronica,5.0,500,02/08/2026,2500.0
3,Laptop,Electronica,2.0,15000,01/08/2026,30000.0
6,Impresora,Electronica,1.0,6500,06/08/2026,6500.0
7,Escritorio,Muebles,2.0,5500,07/08/2026,11000.0
8,Audifonos,Electronica,4.0,1200,08/08/2026,4800.0
9,Webcam,Electronica,3.0,1800,09/08/2026,5400.0
10,Celular,Electronica,2.0,12500,10/08/2026,25000.0
11,Tablet,Electronica,3.0,7500,11/08/2026,22500.0
12,Lampara,Muebles,5.0,650,12/08/2026,3250.0
13,Silla,Muebles,4.0,2800,13/08/2026,11200.0
14,Mouse,Electronica,6.0,450,14/08/2026,2700.0
15,Teclado,Electronica,3.0,900,15/08/2026,2700.0
16,Monitor,Electronica,2.0,4200,16/08/2026,8400.0
17,Laptop,Electronica,1.0,17500,17/08/2026,17500.0
19,Impresora,Electronica,2.0,5800,19/08/2026,11600.0
20,Bocinas,Electronica,4.0,1350,20/08/2026,5400.0
21,Microfono,Electronica,2.0,2100,21/08/2026,4200.0
22,Sofa,Muebles,1.0,8900,22/08/2026,8900.0
23,Silla,Muebles,5.0,3100,23/08/2026,15500.0
25,Mouse,Electronica,8.0,550,25/08/2026,4400.0
26,Laptop,Electronica,2.0,16000,26/08/2026,32000.0
27,Teclado,Electronica,5.0,750,27/08/2026,3750.0
28,Tablet,Electronica,2.0,6800,28/08/2026,13600.0
29,Celular,Electronica,3.0,11000,29/08/2026,33000.0
31,Lampara,Muebles,7.0,500,31/08/2026,3500.0
32,Audifonos,Electronica,5.0,950,01/09/2026,4750.0
33,Webcam,Electronica,2.0,1650,02/09/2026,3300.0
34,Impresora,Electronica,1.0,7200,03/09/2026,7200.0
35,Laptop,Electronica,3.0,14500,04/09/2026,43500.0
37,Teclado,Electronica,4.0,850,06/09/2026,3400.0
38,Monitor,Electronica,3.0,4100,07/09/2026,12300.0
39,Silla,Muebles,2.0,2700,08/09/2026,5400.0
40,Escritorio,Muebles,1.0,5900,09/09/2026,5900.0
41,Bocinas,Electronica,3.0,1500,10/09/2026,4500.0
42,Microfono,Electronica,4.0,1950,11/09/2026,7800.0
43,Celular,Electronica,2.0,11800,12/09/2026,23600.0
44,Tablet,Electronica,1.0,8200,13/09/2026,8200.0
45,Laptop,Electronica,2.0,15200,14/09/2026,30400.0
46,Mouse,Electronica,5.0,520,15/09/2026,2600.0
48,Monitor,Electronica,2.0,4500,17/09/2026,9000.0
49,Silla,Muebles,3.0,2900,18/09/2026,8700.0
50,Escritorio,Muebles,4.0,5100,19/09/2026,20400.0
52,Impresora,Electronica,2.0,6300,21/09/2026,12600.0
53,Audifonos,Electronica,7.0,1100,22/09/2026,7700.0
54,Webcam,Electronica,3.0,1750,23/09/2026,5250.0
55,Celular,Electronica,1.0,13500,24/09/2026,13500.0
56,Tablet,Electronica,4.0,7100,25/09/2026,28400.0
57,Laptop,Electronica,2.0,14800,26/09/2026,29600.0
58,Mouse,Electronica,10.0,480,27/09/2026,4800.0
59,Teclado,Electronica,3.0,820,28/09/2026,2460.0
61,Silla,Muebles,5.0,2600,30/09/2026,13000.0
62,Escritorio,Muebles,2.0,5700,01/10/2026,11400.0
64,Microfono,Electronica,3.0,2250,03/10/2026,6750.0
65,Impresora,Electronica,2.0,6100,04/10/2026,12200.0
66,Laptop,Electronica,1.0,18000,05/10/2026,18000.0
67,Mouse,Electronica,6.0,510,06/10/2026,3060.0
68,Teclado,Electronica,4.0,870,07/10/2026,3480.0
69,Monitor,Electronica,3.0,3950,08/10/2026,11850.0
71,Escritorio,Muebles,3.0,5400,10/10/2026,16200.0
72,Lampara,Muebles,5.0,620,11/10/2026,3100.0
73,Audifonos,Electronica,4.0,1050,12/10/2026,4200.0
74,Webcam,Electronica,2.0,1900,13/10/2026,3800.0
75,Celular,Electronica,3.0,12100,14/10/2026,36300.0
76,Tablet,Electronica,2.0,7900,15/10/2026,15800.0
77,Laptop,Electronica,2.0,15500,16/10/2026,31000.0
79,Teclado,Electronica,5.0,810,18/10/2026,4050.0
80,Monitor,Electronica,1.0,4700,19/10/2026,4700.0
81,Silla,Muebles,4.0,3000,20/10/2026,12000.0
82,Escritorio,Muebles,2.0,6000,21/10/2026,12000.0
83,Impresora,Electronica,1.0,6800,22/10/2026,6800.0
84,Bocinas,Electronica,5.0,1250,23/10/2026,6250.0
85,Microfono,Electronica,2.0,2050,24/10/2026,4100.0
87,Tablet,Electronica,3.0,7300,26/10/2026,21900.0
88,Laptop,Electronica,1.0,16500,27/10/2026,16500.0
89,Mouse,Electronica,7.0,490,28/10/2026,3430.0
90,Teclado,Electronica,2.0,950,29/10/2026,1900.0
91,Monitor,Electronica,4.0,4050,30/10/2026,16200.0
92,Silla,Muebles,3.0,2750,31/10/2026,8250.0
94,Lampara,Muebles,6.0,580,02/11/2026,3480.0
95,Impresora,Electronica,2.0,5900,03/11/2026,11800.0
96,Audifonos,Electronica,5.0,1150,04/11/2026,5750.0
97,Webcam,Electronica,3.0,1850,05/11/2026,5550.0
98,Celular,Electronica,2.0,12800,06/11/2026,25600.0
99,Tablet,Electronica,1.0,7600,07/11/2026,7600.0
100,Laptop,Electronica,2.0,15000,08/11/2026,30000.0
102,Teclado,Electronica,3.0,800,10/11/2026,2400.0
103,Monitor,Electronica,2.0,4000,11/11/2026,8000.0
104,Silla,Muebles,5.0,2850,12/11/2026,14250.0
