producto,categoria,cantidad,precio,fecha
Laptop,Electronica,2,15000,01/08/2026
Mouse,electronica,5,500,02/08/2026
Teclado,Electronica,,800,03/08/2026
Laptop,Electronica,2,15000,01/08/2026
Silla,Muebles,3,-2500,04/08/2026
Monitor,,2,4000,05/08/2026
Impresora,Electronica,1,6500,06/08/2026
Escritorio,Muebles,2,5500,07/08/2026
Audifonos,Electronica,4,1200,08/08/2026
Webcam,electronica,3,1800,09/08/2026
Celular,Electronica,2,12500,10/08/2026
Tablet,Electronica,3,7500,11/08/2026
Lampara,Muebles,5,650,12/08/2026
Silla,Muebles,4,2800,13/08/2026
Mouse,Electronica,6,450,14/08/2026
Teclado,electronica,3,900,15/08/2026
Monitor,Electronica,2,4200,16/08/2026
Laptop,Electronica,1,17500,17/08/2026
Escritorio,Muebles,,6200,18/08/2026
Impresora,Electronica,2,5800,19/08/2026
Bocinas,Electronica,4,1350,20/08/2026
Microfono,electronica,2,2100,21/08/2026
Sofa,Muebles,1,8900,22/08/2026
Silla,Muebles,5,3100,23/08/2026
Monitor,Electronica,,3900,24/08/2026
Mouse,Electronica,8,550,25/08/2026
Laptop,Electronica,2,16000,26/08/2026
Teclado,Electronica,5,750,27/08/2026
Tablet,electronica,2,6800,28/08/2026
Celular,Electronica,3,11000,29/08/2026
Escritorio,Muebles,2,-5800,30/08/2026
Lampara,Muebles,7,500,31/08/2026
Audifonos,Electronica,5,950,01/09/2026
Webcam,Electronica,2,1650,02/09/2026
Impresora,electronica,1,7200,03/09/2026
Laptop,Electronica,3,14500,04/09/2026
Mouse,Electronica,,600,05/09/2026
Teclado,Electronica,4,850,06/09/2026
Monitor,electronica,3,4100,07/09/2026
Silla,Muebles,2,2700,08/09/2026
Escritorio,Muebles,1,5900,09/09/2026
Bocinas,Electronica,3,1500,10/09/2026
Microfono,Electronica,4,1950,11/09/2026
Celular,electronica,2,11800,12/09/2026
Tablet,Electronica,1,8200,13/09/2026
Laptop,Electronica,2,15200,14/09/2026
Mouse,Electronica,5,520,15/09/2026
Teclado,electronica,,780,16/09/2026
Monitor,Electronica,2,4500,17/09/2026
Silla,Muebles,3,2900,18/09/2026
Escritorio,Muebles,4,5100,19/09/2026
Lampara,,6,700,20/09/2026
Impresora,Electronica,2,6300,21/09/2026
Audifonos,electronica,7,1100,22/09/2026
Webcam,Electronica,3,1750,23/09/2026
Celular,Electronica,1,13500,24/09/2026
Tablet,Electronica,4,7100,25/09/2026
Laptop,electronica,2,14800,26/09/2026
Mouse,Electronica,10,480,27/09/2026
Teclado,Electronica,3,820,28/09/2026
Monitor,,2,4300,29/09/2026
Silla,Muebles,5,2600,30/09/2026
Escritorio,Muebles,2,5700,01/10/2026
Bocinas,Electronica,,1400,02/10/2026
Microfono,Electronica,3,2250,03/10/2026
Impresora,electronica,2,6100,04/10/2026
Laptop,Electronica,1,18000,05/10/2026
Mouse,Electronica,6,510,06/10/2026
Teclado,Electronica,4,870,07/10/2026
Monitor,electronica,3,3950,08/10/2026
Silla,Muebles,2,-2400,09/10/2026
Escritorio,Muebles,3,5400,10/10/2026
Lampara,Muebles,5,620,11/10/2026
Audifonos,Electronica,4,1050,12/10/2026
Webcam,Electronica,2,1900,13/10/2026
Celular,electronica,3,12100,14/10/2026
Tablet,Electronica,2,7900,15/10/2026
Laptop,Electronica,2,15500,16/10/2026
Mouse,Electronica,,530,17/10/2026
Teclado,electronica,5,810,18/10/2026
Monitor,Electronica,1,4700,19/10/2026
Silla,Muebles,4,3000,20/10/2026
Escritorio,Muebles,2,6000,21/10/2026
Impresora,Electronica,1,6800,22/10/2026
Bocinas,Electronica,5,1250,23/10/2026
Microfono,electronica,2,2050,24/10/2026
Celular,Electronica,,11500,25/10/2026
Tablet,Electronica,3,7300,26/10/2026
Laptop,electronica,1,16500,27/10/2026
Mouse,Electronica,7,490,28/10/2026
Teclado,Electronica,2,950,29/10/2026
Monitor,Electronica,4,4050,30/10/2026
Silla,Muebles,3,2750,31/10/2026
Escritorio,Muebles,,5600,01/11/2026
Lampara,Muebles,6,580,02/11/2026
Impresora,Electronica,2,5900,03/11/2026
Audifonos,electronica,5,1150,04/11/2026
Webcam,Electronica,3,1850,05/11/2026
Celular,Electronica,2,12800,06/11/2026
Tablet,Electronica,1,7600,07/11/2026
Laptop,Electronica,2,15000,08/11/2026
Mouse,,4,500,09/11/2026
Teclado,Electronica,3,800,10/11/2026
Monitor,Electronica,2,4000,11/11/2026
Silla,Muebles,5,2850,12/11/2026
