,producto,categoria,cantidad,precio,fecha,total
0,Lego city,Construcción,5.0,349.9,2026-08-01,1749.5
1,Muñeca barbie,Muñecas,8.0,249.5,2026-08-02,1996.0
2,Hot wheels,Autos,12.0,89.9,2026-08-03,1078.8000000000002
3,Pelota de fútbol,Deportes,6.0,159.9,2026-08-01,959.4000000000001
4,Rompecabezas 500 piezas,Rompecabezas,10.0,129.9,2026-08-04,1299.0
5,Avión de juguete,Vehículos,4.0,199.9,2026-08-05,799.6
6,Oso de peluche,Peluches,7.0,179.5,2026-08-06,1256.5
7,Juego de cocina,Juegos de rol,3.0,299.9,2026-08-07,899.6999999999999
8,Pistola de agua,Juegos al aire libre,9.0,79.9,2026-08-08,719.1
9,Tren eléctrico,Vehículos,2.0,499.9,2026-08-09,999.8
10,Set de plastilina,Manualidades,11.0,119.9,2026-08-10,1318.9
11,Robot de juguete,Robots,5.0,329.9,2026-08-11,1649.5
12,Casa de muñecas,Muñecas,3.0,599.9,2026-08-12,1799.6999999999998
13,Camión de construcción,Vehículos,6.0,219.9,2026-08-13,1319.4
14,Juego de ajedrez,Juegos de mesa,4.0,189.9,2026-08-14,759.6
15,Muñeca bebé,Muñecas,0.0,199.9,2026-08-15,0.0
16,Camión rojo,Vehículos,5.0,0.0,2026-08-16,0.0
17,Juego de cartas,Juegos de mesa,-2.0,89.9,2026-08-17,-179.8
18,Robot azul,Robots,3.0,-50.0,2026-08-18,-150.0
19,Lego friends,Construcción,7.0,299.9,2026-08-19,2099.2999999999997
20,Barbie princesa,Muñecas,4.0,279.9,2026-08-20,1119.6
21,Hot wheels pista,Autos,6.0,349.9,2026-08-21,2099.3999999999996
22,Peluche dinosaurio,Peluches,9.0,159.9,2026-08-22,1439.1000000000001
23,Rompecabezas 1000 piezas,Rompecabezas,5.0,199.9,2026-08-23,999.5
24,Monopoly,Juegos de mesa,3.0,399.9,2026-08-24,1199.6999999999998
25,Nerf lanzador,Juegos de acción,8.0,449.9,2026-08-25,3599.2
26,Cocina de juguete,Juegos de rol,2.0,699.9,2026-08-26,1399.8
27,Set de dinosaurios,Figuras,10.0,229.9,2026-08-27,2299.0
28,Camión de bomberos,Vehiculos,4.0,319.9,2026-08-28,1279.6
29,Kit de doctor,Juegos de rol,6.0,189.9,2026-08-29,1139.4
30,Muñeca bebé,Muñecas,5.0,249.9,2026-08-30,1249.5
31,Set de bloques,Construcción,12.0,149.9,2026-08-31,1798.8000000000002
32,Guitarra de juguete,Instrumentos,3.0,299.9,2026-09-01,899.6999999999999
33,Pista de carreras,Autos,2.0,549.9,2026-09-02,1099.8
34,Juego de memoria,Juegos de mesa,7.0,129.9,2026-09-03,909.3000000000001
35,Robot transformable,Robots,4.0,389.9,2026-09-04,1559.6
36,Avión militar,Vehículos,5.0,219.9,2026-09-05,1099.5
37,Set de pintura,Manualidades,8.0,99.9,2026-09-06,799.2
38,Casa de muñecas,Muñecas,2.0,799.9,2026-09-07,1599.8
39,Pelota gigante,Deportes,0.0,199.9,2026-09-08,0.0
40,Muñeca clásica,Muñecas,-3.0,249.9,2026-09-09,-749.7
41,Robot pequeño,Robots,5.0,0.0,2026-09-10,0.0
42,Camión azul,Vehículos,4.0,-120.0,2026-09-11,-480.0
43,Lego castillo,Construcción,-2.0,499.9,2026-09-12,-999.8
44,Oso de peluche,Peluches,6.0,-80.5,2026-09-13,-483.0
45,Juego de cartas,Juegos de mesa,0.0,99.9,2026-09-14,0.0
46,Avión de juguete,Vehículos,-5.0,159.9,2026-09-15,-799.5
47,Set de cocina,Juegos de rol,3.0,0.0,2026-09-16,0.0
48,Dinosaurio gigante,Figuras,-1.0,-200.0,2026-09-17,200.0
49,Hot wheels,Autos,12.0,89.9,2026-08-03,1078.8000000000002
50,Play-doh,Manualidades,6.0,129.5,2026-08-04,777.0
51,Lego friends,Construccion,4.0,499.9,2026-08-05,1999.6
52,Pista de carreras,Autos,3.0,799.0,2026-08-06,2397.0
53,Muñeca frozen,Muñecas,7.0,299.9,2026-08-07,2099.2999999999997
54,Rompecabezas 500 piezas,Juegos,10.0,159.5,2026-08-08,1595.0
55,Pelota de futbol,Deportes,15.0,199.9,2026-08-09,2998.5
56,Avion de juguete,Aviones,5.0,179.0,2026-08-10,895.0
57,Lego technic,Construccion,2.0,899.9,2026-08-11,1799.8
58,Juego de tao,Imitacion,9.0,149.5,2026-08-12,1345.5
59,Osito de peluche,Peluches,11.0,229.9,2026-08-13,2528.9
60,Monopoly,Juegos,6.0,399.0,2026-08-14,2394.0
61,Barco pirata,Construccion,4.0,599.9,2026-08-15,2399.6
62,Cocina infantil,Imitacion,3.0,1299.0,2026-08-16,3897.0
63,Pistola de agua,Exterior,20.0,79.9,2026-08-17,1598.0
